ID,FROM,TO,CU,CUS,AS
B225,0,3,0.005,0.001,0.44
B225,3,6,0.005,0.001,0.4
B225,6,9,0.005,0.001,0.51
B225,9,12,0.005,0.001,0.27
B225,12,15,0.01,0.001,0.1
B225,15,18,0.01,0.001,0.1
B225,18,21,0.005,0.001,0.1
B225,21,24,0.005,0.001,0.3
B225,24,27,0.005,0.002,0.1
B225,27,30,0.005,0.001,2.34
B225,30,33,0.005,0.001,4.07
B225,33,36,0.1,0.086,1.05
B225,36,39,0.58,0.432,0.37
B225,39,42,0.52,0.431,0.92
B225,42,45,1.33,1.008,4.0
B225,45,48,1.12,0.853,20.0
B225,48,51,1.04,0.771,1.36
B225,51,54,1.66,1.294,0.96
B225,54,57,0.68,0.456,0.53
B225,57,60,1.38,1.08,0.69
B225,60,63,0.53,0.366,2.2
B225,63,66,1.08,0.551,4.08
B225,66,69,0.03,0.013,8.3
B225,69,72,0.023,0.007,0.91
B225,72,75,0.029,0.011,3.55
B225,75,78,0.021,0.007,1.06
B225,78,81,0.041,0.007,3.03
B225,81,84,1.15,0.825,0.1
B225,84,87,1.41,1.13,0.1
B225,87,90,1.27,0.67,0.1
B225,90,93,0.84,0.334,0.1
B225,93,96,1.06,0.043,0.1
B225,96,99,0.39,0.051,0.1
B225,99,102,0.63,0.128,0.51
B225,102,105,0.44,0.042,0.21
B225,105,108,0.53,0.079,1.24
B225,108,111,0.49,0.054,0.1
B225,111,114,0.58,0.081,0.51
B225,114,117,0.62,0.085,0.1
B225,117,120,0.53,0.071,0.52
B225,120,123,0.77,0.109,0.68
B225,123,126,0.57,0.091,0.1
B225,126,129,0.4,0.091,0.1
B225,129,132,0.7,0.127,0.68
B225,132,135,0.36,0.107,0.3
B225,135,138,0.36,0.063,0.8
B225,138,141,0.34,0.051,0.1
B225,141,144,0.48,0.104,0.1
B225,144,147,0.56,0.07,0.44
B225,147,150,0.53,0.074,0.48
B225,150,153,0.39,0.08,0.48
B225,153,156,0.48,0.052,0.52
B225,156,159,0.46,0.047,0.1
B225,159,162,0.86,0.099,0.21
