ID,FROM,TO,ROCKA,ROCK
B225,0,33,LZ,1
B225,33,65.64,SZ,3
B225,65.64,80.5,DYKE,4
B225,80.5,524,PZ,2
B226,0,58.55,LZ,1
B226,58.55,86.54,SZ,3
B226,86.54,99.09,SILL,5
B226,99.09,104.49,SZ,3
B226,104.49,136.29,PZ,2
B226,136.29,170.53,DYKE,4
B226,170.53,527,PZ,2
B227,0,34,LZ,1
B227,34,50,SZ,3
B227,50,261.38,PZ,2
B227,261.38,269.61,SILL,5
B227,269.61,490,PZ,2
B228,0,13.01,LZ,1
B228,13.01,28.41,SZ,3
B228,28.41,173.96,PZ,2
B228,173.96,180.88,SILL,5
B228,180.88,443,PZ,2
B229,0,43,LZ,1
B229,43,76,SZ,3
B229,76,158.27,PZ,2
B229,158.27,168.74,SILL,5
B229,168.74,300,PZ,2
B230,0,24,LZ,1
B230,24,70.95,SZ,3
B230,70.95,82.59,DYKE,4
B230,82.59,87.16,SZ,3
B230,87.16,212.83,PZ,2
B230,212.83,226.6,SILL,5
B230,226.6,493,PZ,2
B231,0,28.78,LZ,1
B231,28.78,109.12,SZ,3
B231,109.12,481,PZ,2
B232,0,2.36,LZ,1
B232,2.36,74.51,SZ,3
B232,74.51,89.43,SILL,5
B232,89.43,138,SZ,3
B232,138,482,PZ,2
B234,0,34.61,LZ,1
B234,34.61,60,SZ,3
B234,60,82.48,PZ,2
B234,82.48,92.51,DYKE,4
B234,92.51,137.36,PZ,2
B234,137.36,160.46,SILL,5
B234,160.46,197.04,PZ,2
B234,197.04,223.2,DYKE,4
B234,223.2,484,PZ,2
B235,0,26.74,LZ,1
B235,26.74,100.74,SZ,3
B235,100.74,283.74,PZ,2
B235,283.74,301.72,SILL,5
B235,301.72,500,PZ,2
B236,0,8,LZ,1
B236,8,39,SZ,3
B236,39,154,PZ,2
B236,154,164.68,SILL,5
B236,164.68,437,PZ,2
B237,0,28.12,LZ,1
B237,28.12,131.11,SZ,3
B237,131.11,227.58,PZ,2
B237,227.58,235.51,SILL,5
B237,235.51,282,PZ,2
B238,0,19.57,LZ,1
B238,19.57,59,SZ,3
B238,59,253.42,PZ,2
B238,253.42,263.99,SILL,5
B238,263.99,291,PZ,2
B239,0,22,LZ,1
B239,22,82.16,SZ,3
B239,82.16,500,PZ,2
B240,0,21.1,LZ,1
B240,21.1,105,SZ,3
B240,105,160.38,PZ,2
B240,160.38,169.41,SILL,5
B240,169.41,500,PZ,2
B241,0,16.94,LZ,1
B241,16.94,40.05,SZ,3
B241,40.05,441,PZ,2
B242,0,45.65,LZ,1
B242,45.65,68.04,SZ,3
B242,68.04,424,PZ,2
B243,0,16.38,LZ,1
B243,16.38,39,SZ,3
B243,39,432,PZ,2
B244,0,42.76,LZ,1
B244,42.76,94.22,SZ,3
B244,94.22,481,PZ,2
B245,0,29.31,LZ,1
B245,29.31,78.51,SZ,3
B245,78.51,87.76,SILL,5
B245,87.76,99,SZ,3
B245,99,490,PZ,2
B246,0,6.95,LZ,1
B246,6.95,28.04,SZ,3
B246,28.04,58.82,PZ,2
B246,58.82,72.75,SILL,5
B246,72.75,445,PZ,2
B247,0,22,LZ,1
B247,22,56.51,SZ,3
